2ちゃんねる	にチャンネル
3D酔い	スリーディーよい
3D醉い	スリーディーよい
5ちゃんねる	ごチャンネル
ROMる	ロムる
VR酔い	ブイアールよい
VR醉い	ブイアールよい
X連鎖無ガンマグロブリンけっしょう	エックスれんさむガンマグロブリンけっしょう
Z旗を掲げる	ゼットきをかかげる
disる	ディスる
d払い	ディーばらい
d拂い	ディーばらい
×上手い	うまい
×美味い	うまい
…するのは訳が無い	…するのはわけがない
…たるを失わない	…たるをうしなわない
…で飯を食う	…でめしをくう
…で鳴す	…でならす
…で鳴らす	…でならす
…という程のものは無い	…というほどのものはない
…に堪えない	…にたえない
…に過ぎない	…にすぎない
…の手が動く	…のてがうごく
…の手にかかる	…のてにかかる
…を問わず	…をとわず
…を地で行く	…をじでいく
…出来る	…できる
…目に遭う	…めにあう
…風を吹かす	…かぜをふかす
…風を吹す	…かぜをふかす
〆る	しめる
〆切る	しめきる
ああいう	ああいう
ああでもないこうでもない	ああでもないこうでもない
ああ言えばこう言う	ああいえばこういう
あいあい	あいあい
あいこう	あいこう
あいしらい	あいしらい
あいしらう	あいしらう
あいそ笑い	あいそうわらい
あいそ笑い	あいそわらい
あいた口が塞がらぬ	あいたくちがふさがらぬ
あいた口も塞がらぬ	あいたくちもふさがらぬ
あいだてない	あいだてない
あいだる	あいだる
あいづちを打つ	あいづちをうつ
あいてにとって不足はない	あいてにとってふそくはない
あいふ	あいふ
あいよう	あいよう
あい変らず	あいかわらず
あい変わらず	あいかわらず
あう	あう
あえしらい	あえしらい
あえしらう	あえしらう
あえたく	あえたく
あおり立てる	あおりたてる
あおる	あおる
あかし暮らす	あかしくらす
あかすかべい	あかすかべい
あかまつ	あかまつ
あからしぶ	あからしぶ
あからぶ	あからぶ
あから目さす	あからめさす
あかりべす	あかりべす
あかんべい	あかんべい
あか抜ける	あかぬける
あがい	あがい
あきのこう	あきのこう
あきらめが悪い	あきらめがわるい
あきらめの悪い	あきらめのわるい
あきらめの良い	あきらめのいい
あきらめの良い	あきらめのよい
あぎとい	あぎとい
あぎとう	あぎとう
あくが強い	あくがつよい
あくが強い	アクがつよい
あくせい	あくせい
あくたいもくたい	あくたいもくたい
あくちも切れぬ	あくちもきれぬ
あくどい	あくどい
あくの強い	あくのつよい
あくの強い	アクのつよい
あくふく	あくふく
あくを取る	あくをとる
あく洗い	あくあらい
あぐねる	あぐねる
あけしい	あけしい
あげず	あげず
あごが干上がる	あごがひあがる
あごで人を使う	あごでひとをつかう
あごで使う	あごでつかう
あごで使う	アゴでつかう
あごむ	あごむ
あごを出す	あごをだす
あさうつ	あさうつ
あさかい	あさかい
あさぎみず	あさぎみず
あさず	あさず
あざとい	あざとい
あざわらう	あざわらう
あざ笑う	あざわらう
あしい	あしい
あしかい	あしかい
あしのあい	あしのあい
あしらい	あしらい
あしらう	あしらう
あじくつ	あじくつ
あじさわう	あじさわう
あじのすむ	あじのすむ
あじまう	あじまう
あじまむ	あじまむ
あじょう	あじょう
あずかり知る	あずかりしる
あずる	あずる
あたい	あたい
あたう	あたう
あたける	あたける
あたじけない	あたじけない
あたたしい	あたたしい
あたぼう	あたぼう
あたま来る	あたまくる
あたゆまい	あたゆまい
あたらしく	あたらしく
あたらずといえども遠からず	あたらずといえどもとおからず
あたらず障らず	あたらずさわらず
あたらない	あたらない
あたり構わず	あたりかまわず
あた舌たるい	あたしたたるい
あた贅ばる	あたぜいばる
あだす	あだす
あだない	あだない
あだ塩辛い	あだじおがらい
あちら立てればこちらが立たぬ	あちらたてればこちらがたたぬ
あぢさはふ	あぢさはふ
あっけない	あっけない
あっけに取られる	あっけにとられる
あったぼこしゅもない	あったぼこしゅもない
あったま来る	あったまくる
あっつう	あっつう
あっつろう	あっつろう
あっと言わせる	あっといわせる
あっと驚く	あっとおどろく
あっと驚く	アっとおどろく
あっと驚く	アッとおどろく
あつくなる	あつくなる
あつしる	あつしる
あつまい	あつまい
あてずっぽう	あてずっぽう
あてられる	あてられる
あとむ	あとむ
あとれる	あとれる
あどうつ	あどうつ
あどけない	あどけない
あどない	あどない
あどめもない	あどめもない
あどを打つ	あどをうつ
あど打つ	あどうつ
あない	あない
あなかしく	あなかしく
あなぐす	あなぐす
あなたから迯れられない	あなたからのがれられない
あなたから逃れられない	あなたからのがれられない
あなない	あなない
あななう	あななう
あなにく	あなにく
